timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753567712872,1885,Main Bundle,404,Not Found,Moderate Load 2-4,text,false,,21704,136,28,36,http://localhost:3000/static/js/main.js,1816,0,0
1753567712887,1874,Main Bundle,404,Not Found,Moderate Load 2-5,text,false,,21704,136,27,35,http://localhost:3000/static/js/main.js,1804,0,0
1753567712887,1878,Main Bundle,404,Not Found,Moderate Load 2-3,text,false,,21704,136,26,34,http://localhost:3000/static/js/main.js,1807,0,0
1753567712902,1871,Main Bundle,404,Not Found,Light Load 1-3,text,false,,21704,136,8,33,http://localhost:3000/static/js/main.js,1794,0,0
1753567712917,1861,Main Bundle,404,Not Found,Light Load 1-2,text,false,,21704,136,7,32,http://localhost:3000/static/js/main.js,1782,0,0
1753567712917,1866,Main Bundle,404,Not Found,Moderate Load 2-10,text,false,,21704,136,25,31,http://localhost:3000/static/js/main.js,1784,0,0
1753567712917,1872,Main Bundle,404,Not Found,Moderate Load 2-8,text,false,,21704,136,24,30,http://localhost:3000/static/js/main.js,1787,0,0
1753567712933,1862,Main Bundle,404,Not Found,Moderate Load 2-11,text,false,,21704,136,23,29,http://localhost:3000/static/js/main.js,1774,0,0
1753567712933,1870,Main Bundle,404,Not Found,Moderate Load 2-6,text,false,,21704,136,22,28,http://localhost:3000/static/js/main.js,1776,0,0
1753567712949,1859,Main Bundle,404,Not Found,Moderate Load 2-1,text,false,,21704,136,21,27,http://localhost:3000/static/js/main.js,1764,0,0
1753567712949,1870,Main Bundle,404,Not Found,Light Load 1-4,text,false,,21704,136,6,26,http://localhost:3000/static/js/main.js,1766,0,0
1753567712949,1878,Main Bundle,404,Not Found,Moderate Load 2-13,text,false,,21704,136,20,25,http://localhost:3000/static/js/main.js,1769,0,0
1753567703034,14723,Homepage,200,OK,Moderate Load 2-22,text,true,,90925,119,21,26,http://localhost:3000/,147,0,1
1753567701811,15949,Homepage,200,OK,Light Load 1-9,text,true,,90925,119,5,26,http://localhost:3000/,152,0,1
1753567694630,23133,Homepage,200,OK,Moderate Load 2-15,text,true,,90925,119,21,26,http://localhost:3000/,3175,0,1
1753567699439,18326,Homepage,200,OK,Moderate Load 2-19,text,true,,90925,119,21,26,http://localhost:3000/,145,0,2
1753567701828,15939,Homepage,200,OK,Moderate Load 2-21,text,true,,90925,119,21,26,http://localhost:3000/,294,0,1
1753567695843,21927,Homepage,200,OK,Moderate Load 2-16,text,true,,90925,119,21,26,http://localhost:3000/,1964,0,1
1753567704225,13547,Homepage,200,OK,Moderate Load 2-23,text,true,,90925,119,21,26,http://localhost:3000/,152,0,1
1753567698227,19551,Homepage,200,OK,Moderate Load 2-18,text,true,,90925,119,21,26,http://localhost:3000/,140,0,1
1753567700634,17148,Homepage,200,OK,Moderate Load 2-20,text,true,,90925,119,21,26,http://localhost:3000/,149,0,1
1753567692814,24970,Homepage,200,OK,Light Load 1-6,text,true,,90537,119,5,26,http://localhost:3000/,4989,0,1
1753567697031,20759,Homepage,200,OK,Moderate Load 2-17,text,true,,90933,119,21,26,http://localhost:3000/,1006,0,5
1753567695813,21980,Homepage,200,OK,Light Load 1-7,text,true,,90933,119,5,26,http://localhost:3000/,1993,0,1
